3.08567758e+14  9.55383964e+112 1.31005153e+127 
6.40586666e+20  7.11760848e-25  9.75988110e-11  
6.42438072e+20  7.10516089e-25  9.74281259e-11  
6.44289479e+20  7.09271702e-25  9.72574918e-11  
6.46140885e+20  7.08027703e-25  9.70869108e-11  
6.47992292e+20  7.06784107e-25  9.69163851e-11  
6.49843698e+20  7.05540930e-25  9.67459169e-11  
6.51695105e+20  7.04298188e-25  9.65755084e-11  
6.53546512e+20  7.03055898e-25  9.64051617e-11  
6.55397918e+20  7.01814073e-25  9.62348790e-11  
6.57249325e+20  7.00572731e-25  9.60646623e-11  
6.59100731e+20  6.99331885e-25  9.58945138e-11  
6.60952138e+20  6.98091552e-25  9.57244355e-11  
6.62803544e+20  6.96851746e-25  9.55544296e-11  
6.64654951e+20  6.95612483e-25  9.53844980e-11  
6.66506357e+20  6.94373777e-25  9.52146429e-11  
6.68357764e+20  6.93135643e-25  9.50448663e-11  
6.70209171e+20  6.91898097e-25  9.48751701e-11  
6.72060577e+20  6.90661151e-25  9.47055565e-11  
6.73911984e+20  6.89424822e-25  9.45360272e-11  
6.75763390e+20  6.88189124e-25  9.43665845e-11  
6.77614797e+20  6.86954069e-25  9.41972301e-11  
6.79466203e+20  6.85719674e-25  9.40279661e-11  
6.81317610e+20  6.84485952e-25  9.38587943e-11  
6.83169016e+20  6.83252916e-25  9.36897168e-11  
6.85020423e+20  6.82020582e-25  9.35207353e-11  
6.86871829e+20  6.80788962e-25  9.33518518e-11  
6.88723236e+20  6.79558070e-25  9.31830681e-11  
6.90574643e+20  6.78327919e-25  9.30143862e-11  
6.92426049e+20  6.77098525e-25  9.28458078e-11  
6.94277456e+20  6.75869898e-25  9.26773349e-11  
6.96128862e+20  6.74642054e-25  9.25089691e-11  
6.97980269e+20  6.73415004e-25  9.23407124e-11  
6.99831675e+20  6.72188763e-25  9.21725664e-11  
7.01683082e+20  6.70963342e-25  9.20045330e-11  
7.03534488e+20  6.69738756e-25  9.18366140e-11  
7.05385895e+20  6.68515016e-25  9.16688110e-11  
7.07237301e+20  6.67292135e-25  9.15011258e-11  
7.09088708e+20  6.66070125e-25  9.13335602e-11  
7.10940115e+20  6.64849000e-25  9.11661158e-11  
7.12791521e+20  6.63628772e-25  9.09987944e-11  
7.14642928e+20  6.62409452e-25  9.08315975e-11  
7.16494334e+20  6.61191053e-25  9.06645269e-11  
7.18345741e+20  6.59973586e-25  9.04975843e-11  
7.20197147e+20  6.58757065e-25  9.03307712e-11  
7.22048554e+20  6.57541501e-25  9.01640893e-11  
7.23899960e+20  6.56326905e-25  8.99975402e-11  
7.25751367e+20  6.55113289e-25  8.98311255e-11  
7.27602774e+20  6.53900664e-25  8.96648467e-11  
7.29454180e+20  6.52689043e-25  8.94987055e-11  
7.31305587e+20  6.51478436e-25  8.93327034e-11  
7.33156993e+20  6.50268854e-25  8.91668419e-11  
7.35008400e+20  6.49060310e-25  8.90011226e-11  
7.36859806e+20  6.47852813e-25  8.88355470e-11  
7.38711213e+20  6.46646375e-25  8.86701166e-11  
7.40562619e+20  6.45441007e-25  8.85048328e-11  
7.42414026e+20  6.44236719e-25  8.83396972e-11  
7.44265432e+20  6.43033522e-25  8.81747111e-11  
7.46116839e+20  6.41831427e-25  8.80098762e-11  
7.47968246e+20  6.40630444e-25  8.78451938e-11  
7.49819652e+20  6.39430584e-25  8.76806653e-11  
7.51671059e+20  6.38231856e-25  8.75162921e-11  
7.53522465e+20  6.37034271e-25  8.73520757e-11  
7.55373872e+20  6.35837840e-25  8.71880173e-11  
7.57225278e+20  6.34642572e-25  8.70241185e-11  
7.59076685e+20  6.33448476e-25  8.68603805e-11  
7.60928091e+20  6.32255564e-25  8.66968047e-11  
7.62779498e+20  6.31063844e-25  8.65333925e-11  
7.64630904e+20  6.29873326e-25  8.63701450e-11  
7.66482311e+20  6.28684020e-25  8.62070638e-11  
7.68333718e+20  6.27495935e-25  8.60441499e-11  
7.70185124e+20  6.26309080e-25  8.58814048e-11  
7.72036531e+20  6.25123466e-25  8.57188298e-11  
7.73887937e+20  6.23939100e-25  8.55564260e-11  
7.75739344e+20  6.22755993e-25  8.53941947e-11  
7.77590750e+20  6.21574152e-25  8.52321371e-11  
7.79442157e+20  6.20393588e-25  8.50702546e-11  
7.81293563e+20  6.19214308e-25  8.49085482e-11  
7.83144970e+20  6.18036322e-25  8.47470191e-11  
7.84996377e+20  6.16859638e-25  8.45856687e-11  
7.86847783e+20  6.15684265e-25  8.44244979e-11  
7.88699190e+20  6.14510211e-25  8.42635080e-11  
7.90550596e+20  6.13337485e-25  8.41027002e-11  
7.92402003e+20  6.12166094e-25  8.39420756e-11  
7.94253409e+20  6.10996047e-25  8.37816352e-11  
7.96104816e+20  6.09827353e-25  8.36213803e-11  
7.97956222e+20  6.08660018e-25  8.34613118e-11  
7.99807629e+20  6.07494052e-25  8.33014310e-11  
8.01659035e+20  6.06329462e-25  8.31417389e-11  
8.03510442e+20  6.05166256e-25  8.29822365e-11  
8.05361849e+20  6.04004441e-25  8.28229249e-11  
8.07213255e+20  6.02844025e-25  8.26638052e-11  
8.09064662e+20  6.01685016e-25  8.25048783e-11  
8.10916068e+20  6.00527421e-25  8.23461453e-11  
8.12767475e+20  5.99371247e-25  8.21876073e-11  
8.14618881e+20  5.98216502e-25  8.20292651e-11  
8.16470288e+20  5.97063192e-25  8.18711198e-11  
8.18321694e+20  5.95911326e-25  8.17131724e-11  
8.20173101e+20  5.94760910e-25  8.15554238e-11  
8.22024507e+20  5.93611950e-25  8.13978750e-11  
